nombre,telefono,ciudad,provincia,website,fuente,outreach_status,scraped_at
Alquiler Jesús María,0351 650-5720,Jesús María,Córdoba,,google_maps,pending,2026-04-27T20:51:03.587207
Inmobiliaria Walter Bruno,0351 208-3675,La Falda,Córdoba,,google_maps,pending,2026-04-27T20:51:29.458431
VALDEZ SERVICIOS INMOBILIARIOS,0351 517-5941,La Falda,Córdoba,,google_maps,pending,2026-04-27T20:51:31.538737
Departamento Alquiler Temporario La Falda Córdoba,0351 364-1399,La Falda,Córdoba,,google_maps,pending,2026-04-27T20:51:31.793585
Pravisani Desarrollos y Propiedades,0351 613-3682,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:51.596514
Lizzi Propiedades Inmobiliaria Alta Gracia,0351 368-3881,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:51.702896
SIMA INMOBILIARIA,0351 340-0000,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:52.929331
Lequio Propiedades,0351 301-4091,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:53.027231
Inmobiliaria Invertir Bienes Raices,0351 15-573-1515,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:53.115254
Grupo Geo Estudio Integral,0351 255-3555,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:53.840116
Bhm Inmobiliaria,0351 220-5675,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:53.931820
Grupo Nórdico - Desarrollos Estratégicos,0351 251-0078,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:54.980156
Inmobiliaria Martin Chanquia,0351 707-0352,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:55.263018
FAMILIA S.I.,0351 749-2345,Alta Gracia,Córdoba,,google_maps,pending,2026-04-27T20:51:55.365105
Javier Brocca & Asociados Bienes Raices,0351 355-6612,Cosquín,Córdoba,,google_maps,pending,2026-04-27T20:52:16.052298
"INMOBILIARIA AIRE SERRANO Corredora Inmobiliaria, Perito tasador Judicial Silvina R. Ragout M.P 7405",0351 328-3437,Cosquín,Córdoba,,google_maps,pending,2026-04-27T20:52:16.555794
Inmobiliaria Costamagna Inmuebles,0351 760-3278,Cosquín,Córdoba,,google_maps,pending,2026-04-27T20:52:16.683256
