corridor,micro_zone,city,priority,name,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source
Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Grupo Buglione,Autopartes / remanufactura,0351 6512408 / 0351 3271171 / 03547 432121,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Parque N°53; entrar por logística/compras.,"https://www.google.com/maps/search/?api=1&query=-31.660000,-64.430000",Facebook Grupo Buglione
Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Habitaciones Calificadas,Módulos habitacionales,A relevar,A relevar,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Teléfono no confiable en web; relevar en visita/parque.,"https://www.google.com/maps/search/?api=1&query=-31.650000,-64.421000",Informe de mercado / parque Alta Gracia
Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Mattsay Steel Frame,Casas modulares / steel frame,3547 477530,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Instalación en lote; preguntar si tercerizan traslados.,"https://www.google.com/maps/search/?api=1&query=-31.653000,-64.428000",mattsay.com
Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,Boetto y Buttigliengo S.A.,Constructora,0351 4653272,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Prospecto grande; mejor por obra/encargado que por administración.,"https://www.google.com/maps/search/?api=1&query=-31.449963,-64.252114",BNamericas / bbcsa.com.ar
Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,CABIAL Empresa Constructora,Constructora,0351 4822855 / 0351 4658599,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.","Cotizar traslado concreto, no presentación genérica.","https://www.google.com/maps/search/?api=1&query=-31.438000,-64.205000",arempresas.com
Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,IngaV Constructora,Constructora,0351 5890684 / 0351 5579222 (verificar),VER,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Contacto directo WhatsApp; pedir próximo traslado.,"https://www.google.com/maps/search/?api=1&query=-31.413163,-64.170080",ingavconstructora.com.ar
Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,B,Bendito Corralón Mayorista,Corralón mayorista,0351 8741592 (a confirmar),VER,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,"Validar teléfono; si no, visita directa por local.","https://www.google.com/maps/search/?api=1&query=-31.463000,-64.202000",Instagram / búsqueda web
Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,B,Canteras Terra,Áridos / cantera,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Teléfono web no confiable; relevar en terreno.,"https://www.google.com/maps/search/?api=1&query=-31.462000,-64.360000",Directorio de canteras / investigación web
Córdoba / RN36 norte,Córdoba Sur / Camino San Antonio,Córdoba capital zona sur,B,Porta Hnos.,Industrial / alcohol / alimentos,0351 4938400,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.","Camino San Antonio km 4,5: visitar si entra en ruta Córdoba sur.","https://www.google.com/maps/search/?api=1&query=-31.490145,-64.189401",portahnos.com.ar
Córdoba / RN36 norte,Despeñaderos,Despeñaderos,B,Metal-Ferr,Metalúrgica agro/industria,3547 525300 / 3547 492716,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa local 25+ años; pedir producción/despacho.,"https://www.google.com/maps/search/?api=1&query=-31.817000,-64.294000",metal-ferr.com/contacto
Córdoba / RN36 norte,Despeñaderos,Despeñaderos,B,Parque Industrial Despeñaderos N°64,Radicaciones industriales,A relevar vía municipio,A relevar,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Pedir listado de empresas radicadas al municipio/parque.,"https://www.google.com/maps/search/?api=1&query=-31.812000,-64.289000",cba.gov.ar / despenaderos.gob.ar
Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,B,Iveco / CNH Ferreyra,Automotriz / camiones,011 20341400 (central),OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",No entrar como pyme fría: buscar contratistas de montaje/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-31.455000,-64.130000",Iveco / CEDAC
Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,B,Renault Planta Santa Isabel,Automotriz,0351 4268268,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,"Prospecto largo; entrar por proveedores, no por compra directa.","https://www.google.com/maps/search/?api=1&query=-31.455000,-64.160000",renaultgroup.com Córdoba Plant
Córdoba / RN36 norte,Malagueño,Malagueño,B,Corralón Bergese Hnos.,Corralón / materiales,0351 6870914 / 0351 2013895,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ofrecer refuerzo logístico para envíos fuera de zona.,"https://www.google.com/maps/search/?api=1&query=-31.441753,-64.439418",ObraMaestra / corralonbergesehnos.com
