name,kind,corridor,micro_zone,city,priority,sector,phone,lat,lon,google_maps,geocode_quality,fit,hook,source
Bendito Corralón Mayorista,prospect,Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,B,Corralón mayorista,0351 8741592 (a confirmar),-31.463,-64.202,"https://www.google.com/maps/search/?api=1&query=-31.463000,-64.202000",address/zone approx,Distribución de materiales pesados y picos de demanda.,"Validar teléfono; si no, visita directa por local.",Instagram / búsqueda web
Canteras Terra,prospect,Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,B,Áridos / cantera,A relevar,-31.462,-64.36,"https://www.google.com/maps/search/?api=1&query=-31.462000,-64.360000",address/zone approx,Áridos y maquinaria de planta.,Teléfono web no confiable; relevar en terreno.,Directorio de canteras / investigación web
Porta Hnos.,prospect,Córdoba / RN36 norte,Córdoba Sur / Camino San Antonio,Córdoba capital zona sur,B,Industrial / alcohol / alimentos,0351 4938400,-31.490145,-64.189401,"https://www.google.com/maps/search/?api=1&query=-31.490145,-64.189401",address/zone approx,"Equipos de planta, repuestos pesados, cargas industriales.","Camino San Antonio km 4,5: visitar si entra en ruta Córdoba sur.",portahnos.com.ar
Metal-Ferr,prospect,Córdoba / RN36 norte,Despeñaderos,Despeñaderos,B,Metalúrgica agro/industria,3547 525300 / 3547 492716,-31.817,-64.294,"https://www.google.com/maps/search/?api=1&query=-31.817000,-64.294000",address/zone approx,"Estructuras, piezas, equipos; carga general y plataforma.",Empresa local 25+ años; pedir producción/despacho.,metal-ferr.com/contacto
Parque Industrial Despeñaderos N°64,prospect,Córdoba / RN36 norte,Despeñaderos,Despeñaderos,B,Radicaciones industriales,A relevar vía municipio,-31.812,-64.289,"https://www.google.com/maps/search/?api=1&query=-31.812000,-64.289000",address/zone approx,"Mudanza de maquinaria, estructuras, materiales de nuevas naves.",Pedir listado de empresas radicadas al municipio/parque.,cba.gov.ar / despenaderos.gob.ar
Iveco / CNH Ferreyra,prospect,Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,B,Automotriz / camiones,011 20341400 (central),-31.455,-64.13,"https://www.google.com/maps/search/?api=1&query=-31.455000,-64.130000",address/zone approx,"Movimientos de troqueles, motores, estructuras, mantenimiento.",No entrar como pyme fría: buscar contratistas de montaje/mantenimiento.,Iveco / CEDAC
Renault Planta Santa Isabel,prospect,Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,B,Automotriz,0351 4268268,-31.455,-64.16,"https://www.google.com/maps/search/?api=1&query=-31.455000,-64.160000",address/zone approx,"Montajes, equipos, troqueles, mantenimiento.","Prospecto largo; entrar por proveedores, no por compra directa.",renaultgroup.com Córdoba Plant
Grupo Calidra / Cal Malagueño,prospect,Córdoba / RN36 norte,Malagueño,Malagueño,A,Cal / minería / áridos,A relevar,-31.467,-64.358,"https://www.google.com/maps/search/?api=1&query=-31.467000,-64.358000",address/zone approx,"Áridos, cal, maquinaria de cantera y mantenimiento.",Prospecto grande; entrar por mantenimiento/proveedores.,calidra.com.ar / investigación web
Corralón Bergese Hnos.,prospect,Córdoba / RN36 norte,Malagueño,Malagueño,B,Corralón / materiales,0351 6870914 / 0351 2013895,-31.441753,-64.439418,"https://www.google.com/maps/search/?api=1&query=-31.441753,-64.439418",address/zone approx,Materiales pesados y reparto a obra.,Ofrecer refuerzo logístico para envíos fuera de zona.,ObraMaestra / corralonbergesehnos.com
Parque Industrial Leonardo Da Vinci / Río Tercero,hot_zone,Base Río Tercero,Río Tercero,Río Tercero,HOT,Zona caliente,,-32.181,-64.104,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.104000",manual-zone,"Alta densidad de metalúrgicas, hormigón, módulos y agroindustria. Primer día: bajo costo, muchas puertas.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Obra vial / Circunvalación Río Cuarto,hot_zone,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,HOT,Zona caliente,,-33.105,-64.335,"https://www.google.com/maps/search/?api=1&query=-33.105000,-64.335000",manual-zone,"Constructoras y obradores con necesidad de mover equipos, módulos y materiales.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Canteras / áridos Río Cuarto oeste-sur,hot_zone,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,HOT,Zona caliente,,-33.14,-64.42,"https://www.google.com/maps/search/?api=1&query=-33.140000,-64.420000",manual-zone,"Canteras Bringas, Marinelli y demanda de obra vial. Cuidado: confirmar capacidad para áridos.",Trabajar como bloque de visitas,Definición estratégica PRESOL
PILT Villa María / Parque Industrial,hot_zone,Villa María / RP6,Villa María,Villa María,HOT,Zona caliente,,-32.423,-63.205,"https://www.google.com/maps/search/?api=1&query=-32.423000,-63.205000",manual-zone,"Cormetal, Mayo, Dipromas, SSM, frigoríficos y metalmecánicas en un radio chico.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Obras RN158 / Villa María-Villa Nueva,hot_zone,Villa María / RP6,Villa María,Villa María,HOT,Zona caliente,,-32.43,-63.245,"https://www.google.com/maps/search/?api=1&query=-32.430000,-63.245000",manual-zone,Obras viales activas + constructoras + corralones sobre el eje RN158/RN9.,Trabajar como bloque de visitas,Definición estratégica PRESOL
ACA Tío Pujio / acopio agro,hot_zone,Villa María / RP6,Tío Pujio,Tío Pujio,HOT,Zona caliente,,-32.288,-63.356,"https://www.google.com/maps/search/?api=1&query=-32.288000,-63.356000",manual-zone,Acopio de alto volumen; buena puerta a equipos de planta y logística agro.,Trabajar como bloque de visitas,Definición estratégica PRESOL
Hernando RP6 / agroindustria,hot_zone,Villa María / RP6,Hernando,Hernando,HOT,Zona caliente,,-32.426,-63.733,"https://www.google.com/maps/search/?api=1&query=-32.426000,-63.733000",manual-zone,"La Vencedora, Metal-Her y agroservicios. Enfoque: silos, implementos, acopios.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Córdoba Sur / Vélez Sarsfield-RN36,hot_zone,Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,HOT,Zona caliente,,-31.47,-64.205,"https://www.google.com/maps/search/?api=1&query=-31.470000,-64.205000",manual-zone,"Hormi Block, Canteras Ruiz, Porta, corralones y acceso por RN36 sin meterse al centro.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Córdoba Oeste-Norte / módulos y corralones,hot_zone,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,HOT,Zona caliente,,-31.382,-64.235,"https://www.google.com/maps/search/?api=1&query=-31.382000,-64.235000",manual-zone,"Mis Ladrillos, MegaContainers y Lucy’s House no caen todos en zona sur; trabajarlos como subruta aparte.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Alta Gracia / parques y módulos,hot_zone,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,HOT,Zona caliente,,-31.653,-64.428,"https://www.google.com/maps/search/?api=1&query=-31.653000,-64.428000",manual-zone,"Premoldeados, viviendas industrializadas, parques en expansión.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Malagueño / cal y áridos,hot_zone,Córdoba / RN36 norte,Malagueño,Malagueño,HOT,Zona caliente,,-31.467,-64.358,"https://www.google.com/maps/search/?api=1&query=-31.467000,-64.358000",manual-zone,"Calidra, canteras/corralones y materiales. Entrada por mantenimiento/proveedores.",Trabajar como bloque de visitas,Definición estratégica PRESOL
Ferreyra / Santa Isabel industrial,hot_zone,Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,HOT,Zona caliente,,-31.455,-64.13,"https://www.google.com/maps/search/?api=1&query=-31.455000,-64.130000",manual-zone,Automotriz y proveedores. Prospecto largo; atacar por contratistas de montaje.,Trabajar como bloque de visitas,Definición estratégica PRESOL
