id,estado_contacto,corridor,micro_zone,city,priority,score_operativo,name,sector,segmento_comercial,phone,phone_quality,telefono_principal_tel,tel_links,ask_for,need_probable,offer,hook,accion_sugerida,dato_pendiente,google_maps,source,source_url,evidencia,calidad_dato,origen_registro,resultado,fecha_visita,proximo_paso,notas_campo,servicios_presol_a_ofrecer,rubro_foco_enriquecimiento,ciudad_foco_solicitada,prioridad_visita_sugerida,observacion_servicio_nuevo
PRESOL-118,Pendiente,Base Río Tercero,Río Tercero / piletas y PRFV,Río Tercero,B,85,Tecnipiscinas,Piletas de fibra / piscinas / accesorios,Piletas / PRFV / plástico reforzado,+54 3571 412563,OK,tel:+543571412563,tel:+543571412563,ventas / logística / dueño,"Retiro, traslado y descarga de piletas/fibra o piezas voluminosas livianas, con cuidado de maniobra.",Plataforma + hidrogrúa para trasladar y descargar piletas/piezas PRFV; coordinar maniobra sin golpes.,Piletas de fibra y equipamiento; traslado y descarga de cascos/piezas voluminosas puede tercerizarse por temporada.,Llamar y preguntar por entregas fuera de Río Tercero y si tercerizan traslado/descarga de cascos.,Confirmar si fabrica localmente o actúa como punto de venta y volumen mensual de entregas.,https://www.google.com/maps/search/?api=1&query=Tecnipiscinas+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia / Moldear,https://www.tecnipiscinas.com.ar,"Contacto publicado: Av. Pío X 485, Río Tercero; teléfono +54 3571 412563; rubro piscinas.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,plataforma para piletas/fibra | hidrogrúa para descarga/posicionamiento,piletas/plástico/PRFV,Sí,Alta,
PRESOL-025,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,40,Grupo AVO S.A.,Aceite de soja / balanceados,Industria / mantenimiento,Portería parque: 03571 565662,VER,tel:+543571565662,tel:+543571565662,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Visitar si queda en ruta del parque.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Baja / visitar solo por cercanía,
PRESOL-026,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Transporte Sosa,Fabricación y reparación de cajas volcadoras,Industria / mantenimiento,A relevar vía parque,A relevar,,,dueño / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Contacto útil para validar/tercerizar caja volcadora o entender oferta local de volcadoras.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Transporte+Sosa+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica fabricación y reparación de cajas volcadoras.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Baja / visitar solo por cercanía,
PRESOL-027,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Volonte Marcelo,"Arenado, pintura industrial y servicio de izaje",Industria / mantenimiento,A relevar vía parque,A relevar,,,operaciones / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.","Más que cliente, posible referencia/alianza/competencia para izajes y maniobras.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Volonte+Marcelo+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,"Listado del parque: arenado, pintura industrial y servicio de izaje.",Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Baja / visitar solo por cercanía,
PRESOL-028,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,30,Áridos S.A.,Áridos / cantera,Hormigón / áridos / premoldeados,A relevar,A relevar,,,planta / mantenimiento,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Solo vender si se confirma caja volcadora o servicio tercerizable.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",EMIS / Instagram @aridos.sa,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Baja / visitar solo por cercanía,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-029,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,A,100,AGD — Planta de Acopio Corralito,Acopio agroindustrial,Agro / acopio / planta,03571 492144 / 492172 / 492228,OK,tel:+543571492144,tel:+543571492144,responsable de acopio / mantenimiento,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.",Acopio AGD; pedir operaciones/mantenimiento.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",agd.com.ar/es/corralito-acopio,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,,Muy alta,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra. Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-030,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,B,75,Trisoil S.A.,Alimentos balanceados / aceite,Agro / acopio / planta,03571 502525 / 502526,OK,tel:+543571502525,tel:+543571502525,mantenimiento / compras,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.",Ofrecer fletes de repuestos/equipos y cargas especiales.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",trisoil.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,,Alta,"Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-031,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,ACOGRA,Fertilizantes líquidos / agroindustria,Agro / acopio / planta,A relevar,A relevar,,,planta / logística,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Producción de fertilizantes líquidos; validar movimientos de insumos, tanques, equipos y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=ACOGRA+Tancacha+C%C3%B3rdoba+Argentina,Instagram público / resultado de búsqueda,https://www.instagram.com/reel/DQet3NikYDU?hl=en,Resultado público menciona empresa de Tancacha que produce fertilizantes líquidos y exporta.,Media,Nuevo enriquecimiento 2026-09-02,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,Sí,Media,"Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-032,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,Agricultores Unidos de Tancacha Coop. Agrícola Ltda.,Cooperativa agropecuaria / insumos,Agro / acopio / planta,03571 460109 / 03571 460298 / 03571 460112,OK,tel:+543571460109,tel:+543571460109 | tel:+543571460298 | tel:+543571460112,acopio / insumos / mantenimiento,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Cooperativa local: posible entrada por insumos, acopio y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.","Preguntar si tercerizan picos de flete, pallets de agroinsumos y mantenimiento con barquilla.",https://www.google.com/maps/search/?api=1&query=Agricultores+Unidos+de+Tancacha+Coop.+Agr%C3%ADcola+Ltda.+Tancacha+C%C3%B3rdoba+Argentina,Web propia Agricultores Unidos de Tancacha,https://agricultoresunidos.com.ar/contacto,"Sitio propio: administración 03571 460109; planta central 03571 460298; planta Ex-Junta 03571 460112; acopio, agroinsumos, corralón y flota propia.",Media,Nuevo enriquecimiento 2026-09-02 | Actualizado zonas priorizadas 2026-09,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,Sí,Alta,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra. Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-033,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,75,Alimentos Tancacha,Alimentos balanceados / planta industrial,Agro / acopio / planta,+54 3571 50 2272,OK,tel:+543571502272,tel:+543571502272,mantenimiento / logística,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.",Planta industrial en Tancacha; potencial de repuestos/equipos y movimientos especiales.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.","Consultar por pallets, repuestos de planta y movimientos con hidrogrúa.",https://www.google.com/maps/search/?api=1&query=Alimentos+Tancacha+Tancacha+C%C3%B3rdoba+Argentina,Web propia Alimentos Tancacha,http://www.alimentostancacha.com/contacto,"Sitio propio: planta industrial 9 de Julio 1490, Tancacha; teléfono +54 3571 50-2272; alimentos/expeller/aceite/premezclas.",Alta,Nuevo enriquecimiento 2026-09-02 | Actualizado zonas priorizadas 2026-09,,,,,percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,Sí,Alta,"Si se ofrece barquilla, validar condiciones de seguridad, seguro y habilitación de maniobra. Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-034,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,60,RG Rodolfo Grosso,Agroindustria / maquinaria o insumos,Agro / acopio / planta,3571 521091,VER,tel:+543571521091,tel:+543571521091,dueño / operaciones,"Traslado de insumos, pallets, fertilizantes, repuestos pesados, silos/equipos y apoyo de mantenimiento en planta.","Plataforma + percha pallets + hidrogrúa/barquilla para insumos, repuestos, silos/equipos y mantenimiento.","Empresa agroindustrial local; validar movimientos de equipos, repuestos o implementos.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=RG+Rodolfo+Grosso+Tancacha+C%C3%B3rdoba+Argentina,Facebook público / resultado de búsqueda,https://www.facebook.com/rgrodolfogrosso?locale=es_LA,Resultado público indica ubicación Tancacha y WhatsApp 3571521091; verificar vigencia.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,"Percha para pallets: útil para insumos, bolsones, repuestos y materiales palletizados."
PRESOL-035,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,100,AG Viviendas Industrializadas,Módulos / viviendas industrializadas,Módulos / containers,3547 672399 / 3547 420854,OK,tel:+543547672399,tel:+543547672399 | tel:+543547420854,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Plataforma + malacate + hidrogrúa para retiro, traslado, descarga y posicionamiento.",Cada venta necesita logística: proponer proveedor regional.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.655000,-64.420000",Facebook AG Viviendas,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Muy alta,
PRESOL-036,Pendiente,Córdoba / RN36 norte,Alta Gracia / Ruta 5,Alta Gracia,A,100,Miguel Ángel Premoldeados,Premoldeados de hormigón,Hormigón / áridos / premoldeados,03547 430962 / 03547 15501860,OK,tel:+543547430962,tel:+543547430962 | tel:+5493547501860,despacho / producción,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Premoldeados con línea infraestructura y piezas especiales; buen encaje para plataforma e hidrogrúa.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Miguel+%C3%81ngel+Premoldeados+Alta+Gracia+C%C3%B3rdoba+Argentina,Web propia Miguel Ángel Premoldeados,https://miguelangelpremoldeados.com,"Sitio propio informa fabricación de premoldeados, infraestructura, piezas especiales, teléfonos y ruta 5 km 24.",Alta,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-037,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,100,Precons S.R.L.,Premoldeados / tanques / construcción,Hormigón / áridos / premoldeados,3547 430993,OK,tel:+543547430993,tel:+543547430993,despacho / producción,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Parque en expansión; ofrecer servicio a clientes finales.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.662670,-64.414474",eldirectorio.co / preconssrl.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,
PRESOL-048,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,75,Grupo Buglione,Autopartes / remanufactura,Industria / mantenimiento,0351 6512408 / 0351 3271171 / 03547 432121,OK,tel:+543516512408,tel:+543516512408 | tel:+543513271171 | tel:+543547432121,mantenimiento / compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Parque N°53; entrar por logística/compras.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.660000,-64.430000",Facebook Grupo Buglione,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Alta,
PRESOL-049,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,50,Habitaciones Calificadas,Módulos habitacionales,Módulos / containers,A relevar,A relevar,,,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Plataforma + malacate + hidrogrúa para retiro, traslado, descarga y posicionamiento.",Teléfono no confiable en web; relevar en visita/parque.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.650000,-64.421000",Informe de mercado / parque Alta Gracia,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Media,
PRESOL-050,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,75,Mattsay Steel Frame,Casas modulares / steel frame,Industria / mantenimiento,3547 477530,OK,tel:+543547477530,tel:+543547477530,operaciones / entregas,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Instalación en lote; preguntar si tercerizan traslados.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.653000,-64.428000",mattsay.com,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Alta,
PRESOL-051,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,50,R5 Premoldeados,Premoldeados / muros / cerramientos,Hormigón / áridos / premoldeados,A relevar,A relevar,,,despacho / colocación,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Fábrica de premoldeados en Alta Gracia; validar si terceriza transporte/descarga.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=R5+Premoldeados+Alta+Gracia+C%C3%B3rdoba+Argentina,Instagram público / resultado de búsqueda,https://www.instagram.com/r5.premoldeados,"Resultado público indica fábrica de premoldeados en Alta Gracia, muros, cerramientos y estructuras.",Media,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Media,
PRESOL-052,Pendiente,Córdoba / RN36 norte,Sierras / RN36-Ruta 5,Córdoba / Sierras,B,50,"El Alto Áridos, Hormigón y Desarrollos",Áridos / hormigón / desarrollos,Hormigón / áridos / premoldeados,A relevar,A relevar,,,planta / mantenimiento,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Proveedor de áridos y hormigón en sierras; validar si requiere traslados de equipos o apoyo en obras.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=El+Alto+%C3%81ridos%2C+Hormig%C3%B3n+y+Desarrollos+C%C3%B3rdoba+%2F+Sierras+C%C3%B3rdoba+Argentina,Web pública / resultado de búsqueda,https://www.elalto.ar,"Resultado público lo describe como proveedor de áridos lavados, hormigón elaborado y desarrollos integrales.",Media,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Media,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-038,Pendiente,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,A,100,Pretencord S.R.L.,Pretensados y premoldeados de hormigón,Hormigón / áridos / premoldeados,+54 351 2422363 / +54 351 2454059,OK,tel:+543512422363,tel:+543512422363 | tel:+543512454059,despacho / logística,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Despacha a corralones de todo el país; PRESOL puede ofrecer refuerzo logístico regional.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Pretencord+S.R.L.+C%C3%B3rdoba+capital+C%C3%B3rdoba+Argentina,Web propia Pretencord,https://pretencord.com,"Sitio informa fabricación propia, despacho nacional, red de corralones, WhatsApp/teléfono.",Alta,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-053,Pendiente,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,75,Boetto y Buttigliengo S.A.,Constructora,Obra / constructora,0351 4653272,OK,tel:+543514653272,tel:+543514653272,jefe de obra / logística,"Traslado de áridos/materiales, maquinaria, módulos de obrador, estructuras y cargas pesadas entre frentes.",Transporte de áridos/materiales y cargas de obra + hidrogrúa/barquilla/percha pallets según necesidad.,Prospecto grande; mejor por obra/encargado que por administración.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.449963,-64.252114",BNamericas / bbcsa.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Alta,
PRESOL-054,Pendiente,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,75,CABIAL Empresa Constructora,Constructora,Obra / constructora,0351 4822855 / 0351 4658599,OK,tel:+543514822855,tel:+543514822855 | tel:+543514658599,jefe de obra / logística,"Traslado de áridos/materiales, maquinaria, módulos de obrador, estructuras y cargas pesadas entre frentes.",Transporte de áridos/materiales y cargas de obra + hidrogrúa/barquilla/percha pallets según necesidad.,"Cotizar traslado concreto, no presentación genérica.",Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.438000,-64.205000",arempresas.com,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Alta,
PRESOL-055,Pendiente,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,60,IngaV Constructora,Constructora,Obra / constructora,0351 5890684 / 0351 5579222 (verificar),VER,tel:+543515890684,tel:+543515890684 | tel:+543515579222,jefe de obra / logística,"Traslado de áridos/materiales, maquinaria, módulos de obrador, estructuras y cargas pesadas entre frentes.",Transporte de áridos/materiales y cargas de obra + hidrogrúa/barquilla/percha pallets según necesidad.,Contacto directo WhatsApp; pedir próximo traslado.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.413163,-64.170080",ingavconstructora.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Media,
PRESOL-039,Pendiente,Córdoba / RN36 norte,Contacto remoto / Jesús María,Córdoba capital zona sur,A,100,AG GROUP Industria,Módulos / construcción industrializada,Módulos / containers,3525 513210,OK,tel:+543525513210,tel:+543525513210,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Plataforma + malacate + hidrogrúa para retiro, traslado, descarga y posicionamiento.","Aunque está en Jesús María, vende en Córdoba; ofrecer logística provincial.",Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.000000,-64.090000",aggroupindustria.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,,Muy alta,
PRESOL-040,Pendiente,Córdoba / RN36 norte,Córdoba Sur-Oeste / canteras,Córdoba capital zona sur,A,100,Canteras Ruiz,Áridos / cantera,Hormigón / áridos / premoldeados,0351 5570618 / 0351 4524228 / 0351 155508346,OK,tel:+543515570618,tel:+543515570618 | tel:+543514524228 | tel:+5493515508346,planta / mantenimiento,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Servicio de áridos sólo si se confirma volcador/tercerización.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.475000,-64.235000",canterasruiz.com,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-041,Pendiente,Córdoba / RN36 norte,Córdoba Oeste / Av. Colón,Córdoba capital zona sur,A,100,Corralón Mis Ladrillos,Corralón mayorista,Hormigón / áridos / premoldeados,0351 3705858,OK,tel:+543513705858,tel:+543513705858,responsable de logística/compras,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Entrada rápida a mercado capitalino; ofrecer reparto pesado regional.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.396774,-64.251905",Vuelta Canela / directorio,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-042,Pendiente,Córdoba / RN36 norte,Córdoba Sur / RN36-Vélez Sarsfield,Córdoba capital zona sur,A,100,Hormi Block S.A.,Hormigón elaborado,Hormigón / áridos / premoldeados,0351 4939510 / 0351 4945800,OK,tel:+543514939510,tel:+543514939510 | tel:+543514945800,operaciones / planta,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Av. Vélez Sarsfield 5801; entrada directa por corredor.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.481687,-64.203118",InfoNegocios / Hormi Block,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,,Muy alta,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
