ranking,priority,name,corridor,micro_zone,city,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source,score
70,B,Habitaciones Calificadas,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,Módulos habitacionales,A relevar,A relevar,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Teléfono no confiable en web; relevar en visita/parque.,"https://www.google.com/maps/search/?api=1&query=-31.650000,-64.421000",Informe de mercado / parque Alta Gracia,80
71,B,Hidrobull,Base Río Tercero,Río Tercero,Río Tercero,Accesorios para minicargadoras,03571 549612,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Preguntar si entregan accesorios con terceros.,"https://www.google.com/maps/search/?api=1&query=-32.171500,-64.116500",Facebook Hidrobull,79
72,B,Carra Sanitarios,Villa María / RP6,Villa María,Villa María,Materiales / sanitario / obra,0353 4125456,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ubicado sobre corredor; preguntar fletes a clientes/obras.,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.232000",carrasanitarios.com.ar,77
73,B,Parque Industrial Despeñaderos N°64,Córdoba / RN36 norte,Despeñaderos,Despeñaderos,Radicaciones industriales,A relevar vía municipio,A relevar,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Pedir listado de empresas radicadas al municipio/parque.,"https://www.google.com/maps/search/?api=1&query=-31.812000,-64.289000",cba.gov.ar / despenaderos.gob.ar,77
74,B,HIDROSERVIS,Base Río Tercero,Río Tercero,Río Tercero,Cilindros hidráulicos,Portería parque: 03571 565662,VER,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ofrecer servicio de retiro/entrega de equipos pesados.,"https://www.google.com/maps/search/?api=1&query=-32.181800,-64.104800",Parque Industrial Río Tercero,75
75,B,Corralón Bergese Hnos.,Córdoba / RN36 norte,Malagueño,Malagueño,Corralón / materiales,0351 6870914 / 0351 2013895,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ofrecer refuerzo logístico para envíos fuera de zona.,"https://www.google.com/maps/search/?api=1&query=-31.441753,-64.439418",ObraMaestra / corralonbergesehnos.com,74
76,B,Iveco / CNH Ferreyra,Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,Automotriz / camiones,011 20341400 (central),OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",No entrar como pyme fría: buscar contratistas de montaje/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-31.455000,-64.130000",Iveco / CEDAC,73
77,B,Bendito Corralón Mayorista,Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,Corralón mayorista,0351 8741592 (a confirmar),VER,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,"Validar teléfono; si no, visita directa por local.","https://www.google.com/maps/search/?api=1&query=-31.463000,-64.202000",Instagram / búsqueda web,70
78,B,Canteras Terra,Córdoba / RN36 norte,Córdoba capital zona sur,Córdoba capital zona sur,Áridos / cantera,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Teléfono web no confiable; relevar en terreno.,"https://www.google.com/maps/search/?api=1&query=-31.462000,-64.360000",Directorio de canteras / investigación web,70
79,B,Renault Planta Santa Isabel,Córdoba / RN36 norte,Ferreyra / Santa Isabel,Ferreyra / Santa Isabel,Automotriz,0351 4268268,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,"Prospecto largo; entrar por proveedores, no por compra directa.","https://www.google.com/maps/search/?api=1&query=-31.455000,-64.160000",renaultgroup.com Córdoba Plant,62
80,C,San Borg Internacional / Laboratorios Weende,Villa María / RP6,Villa María,Villa María,Laboratorio alimentos/agro,0353 4531453,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visita solo si queda en ruta PILT.,"https://www.google.com/maps/search/?api=1&query=-32.412500,-63.247000",sanborginternacional.com.ar,57
81,C,Grupo AVO S.A.,Base Río Tercero,Río Tercero,Río Tercero,Aceite de soja / balanceados,Portería parque: 03571 565662,VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visitar si queda en ruta del parque.,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",Parque Industrial Río Tercero,55
82,C,Her.Agro Maquinarias,Villa María / RP6,Hernando,Hernando,Maquinaria agrícola nueva/usada,3535 690587 (a confirmar),VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Entrar con cotización para próximos movimientos.,"https://www.google.com/maps/search/?api=1&query=-32.422000,-63.731000",Facebook Her.Agro,53
83,C,3C Biogás S.A.,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,Energía / biogás,A relevar,A relevar,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Prospecto técnico; validar contacto local en terreno.,"https://www.google.com/maps/search/?api=1&query=-32.757000,-64.332000",UNRC / investigación web,50
84,C,AgroServ S.R.L.,Villa María / RP6,Hernando,Hernando,Concesionario maquinaria agrícola,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Concesionario Super Walter; relevar contacto directo.,"https://www.google.com/maps/search/?api=1&query=-32.429500,-63.734500",Instagram AgroServ,43
85,C,Canteras/corralones locales,Río Cuarto / RN36 sur,Berrotarán,Berrotarán,Áridos / materiales,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Relevamiento presencial: la web no muestra nombres confiables.,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.384000",Relevamiento recomendado,43
86,C,Áridos S.A.,Base Río Tercero,Río Tercero,Río Tercero,Áridos / cantera,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Solo vender si se confirma caja volcadora o servicio tercerizable.,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",EMIS / Instagram @aridos.sa,40
