ID,Estado de contacto,Corredor,Microzona,Ciudad,Clase,Puntaje operativo,Empresa,Sector,Segmento comercial,Teléfonos,Calidad del teléfono,Teléfono principal (tel:),Links telefónicos,Preguntar por,Necesidad probable,Oferta PRESOL,Gancho comercial,Acción sugerida,Dato pendiente,Google Maps,Fuente,URL fuente,Evidencia,Calidad del dato,Origen del registro,Resultado,Fecha de visita,Próximo paso,Notas de campo,Servicios PRESOL a ofrecer,Rubro foco enriquecimiento,Ciudad foco solicitada,Prioridad visita sugerida,Observación servicio nuevo,Fuente unificación,Notas de unificación
RT-049,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Taller Sarmiento,Servicios industriales / mantenimiento,Industria / mantenimiento,A relevar vía parque,A relevar,,,mantenimiento / compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Prestación de servicios industriales dentro del parque; posible movimiento de equipos o repuestos pesados.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Taller+Sarmiento+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Empresa listada en Parque Industrial: servicios industriales desde 1992.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Media,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-046
RT-050,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,40,Grupo AVO S.A.,Aceite de soja / balanceados,Industria / mantenimiento,Portería parque: 03571 565662,VER,tel:+543571565662,tel:+543571565662,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visitar si queda en ruta del parque.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,otro rubro factible,Sí,Baja / visitar solo por cercanía,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-047
RT-051,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Transporte Sosa,Fabricación y reparación de cajas volcadoras,Industria / mantenimiento,A relevar vía parque,A relevar,,,dueño / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.",Contacto útil para validar/tercerizar caja volcadora o entender oferta local de volcadoras.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Transporte+Sosa+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica fabricación y reparación de cajas volcadoras.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Baja / visitar solo por cercanía,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-049
RT-052,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,C,30,Volonte Marcelo,"Arenado, pintura industrial y servicio de izaje",Industria / mantenimiento,A relevar vía parque,A relevar,,,operaciones / taller,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales de mantenimiento, equipos y repuestos con seguro/GPS.","Más que cliente, posible referencia/alianza/competencia para izajes y maniobras.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Volonte+Marcelo+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,"Listado del parque: arenado, pintura industrial y servicio de izaje.",Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Baja / visitar solo por cercanía,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-050
RT-053,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,C,30,Áridos S.A.,Áridos / cantera,Hormigón / áridos / premoldeados,A relevar,A relevar,,,planta / mantenimiento,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.",Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Solo vender si se confirma caja volcadora o servicio tercerizable.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",EMIS / Instagram @aridos.sa,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Baja / visitar solo por cercanía,Áridos/materiales: confirmar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar.,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-048
COR-001,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,A,100,AGD — Planta de Acopio Corralito,Acopio agroindustrial,Agro / acopio / planta,03571 492144 / 492172 / 492228,OK,tel:+543571492144,tel:+543571492144,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Acopio AGD; pedir operaciones/mantenimiento.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",agd.com.ar/es/corralito-acopio,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,,Muy alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
COR-002,Pendiente,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,B,75,Trisoil S.A.,Alimentos balanceados / aceite,Agro / acopio / planta,03571 502525 / 502526,OK,tel:+543571502525,tel:+543571502525,mantenimiento / compras,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Ofrecer fletes de repuestos/equipos y cargas especiales.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",trisoil.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,,Alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
TAN-001,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,A,100,A&F / BRUNI Implementos Agrícolas,Repuestos e implementos agrícolas,Industria / mantenimiento,+54 3571 576545 / +54 9 3571 314413,OK,tel:+543571576545,tel:+543571576545 | tel:+5493571314413,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,Fabricante local con 50 años de experiencia en repuestos e implementos agrícolas.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=A%26F+Implementos+Agr%C3%ADcolas+Tancacha+C%C3%B3rdoba+Argentina,Web propia A&F | Google Maps / ficha pública,https://implementosayf.com.ar/ | https://www.google.com/maps/search/?api=1&query=BRUNI+implementos+Agricolas+Tancacha+C%C3%B3rdoba+Argentina,"Fabricante local con 50 años de experiencia en repuestos e implementos agrícolas. | Fabricante/proveedor local de implementos agrícolas con teléfono público. | Sitio propio: Tucumán 745, Tancacha; +54 3571 57 6545; fabricación de implementos agrícolas y repuestos.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Alias GPT fusionado: A&F Implementos Agrícolas + BRUNI Implementos Agrícolas | Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
TAN-002,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,A,85,DIEZTREINTA S.A.S.,Construcción de redes / obras,Obra / constructora,03571 460582 / 03571 15 545575 / 03571 15 514877,OK,tel:+543571460582,tel:+543571460582 | tel:+5493571545575 | tel:+5493571514877,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,Empresa constructora habilitada en Tancacha para obras de redes; teléfonos y domicilio publicados en registro 2026.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=DIEZTREINTA+S.A.S.+Tancacha+C%C3%B3rdoba+Argentina,Registro Ecogas 2026,https://www.ecogas.com.ar/appweb/leo/ui-empresas-constructoras.php,Empresa constructora habilitada en Tancacha para obras de redes; teléfonos y domicilio publicados en registro 2026.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | barquilla de hidrogrúa para mantenimiento en altura | hidrogrúa para postes/equipos,áridos/construcción/premoldeados | mantenimiento en altura/redes,Sí,Muy alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar.",GPT adjunto,ID fuente: TAN-003
TAN-003,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,A,85,El Álamo S.R.L. - Tancacha,"Acopio, fertilizantes, semillas y combustibles",Agro / acopio / planta,03571 460730,OK,tel:+543571460730,tel:+543571460730,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos e implementos con plataforma e hidrogrúa según necesidad.","Sucursal Tancacha en intersección RP E79 y RP6; opera acopio, fertilizantes e insumos.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=El+%C3%81lamo+S.R.L.+-+Tancacha+Tancacha+C%C3%B3rdoba+Argentina,Web propia El Álamo,https://www.elalamosrl.com.ar/,"Sucursal Tancacha en intersección RP E79 y RP6; opera acopio, fertilizantes e insumos.",Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio | planta agroindustrial,Sí,Muy alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,ID fuente: TAN-004
TAN-004,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,A,85,Metalúrgica Gentilini,Piezas y conjuntos metálicos de precisión,Metalmecánica / despacho,03571 550083,OK,tel:+543571550083,tel:+543571550083,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,"Metalúrgica radicada en Tancacha, fabrica piezas y conjuntos metálicos para empresas regionales y nacionales.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+Gentilini+Tancacha+C%C3%B3rdoba+Argentina,Web propia Metalúrgica Gentilini,https://metalurgicagentilini.com.ar/,"Metalúrgica radicada en Tancacha, fabrica piezas y conjuntos metálicos para empresas regionales y nacionales.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,ID fuente: TAN-005
TAN-005,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,81,IMEGEN,Metalurgia / servicios industriales,Metalmecánica / despacho,03571 460242 / +54 3571 460242,OK,tel:+543571460242,tel:+543571460242,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,Taller metalúrgico sobre RP6 con teléfono público.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=IMEGEN+Tancacha+C%C3%B3rdoba+Argentina,Google Maps / ficha pública | Maquinac,https://www.google.com/maps/search/?api=1&query=IMEGEN+Tancacha+C%C3%B3rdoba+Argentina | https://maquinac.com/empresas/imegen,"Taller metalúrgico sobre RP6 con teléfono público. | Maquinac: Ruta Prov. 6 Km 27, Tancacha; +54 3571 460242; equipos industriales.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: TAN-007
TAN-006,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,75,Alimentos Tancacha,Alimentos balanceados / planta industrial,Agro / acopio / planta,+54 3571 50-2272,OK,tel:+543571502272,tel:+543571502272,mantenimiento / logística,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,Planta industrial en Tancacha; potencial de repuestos/equipos y movimientos especiales.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Alimentos+Tancacha+Tancacha+C%C3%B3rdoba+Argentina,Web propia Alimentos Tancacha,http://www.alimentostancacha.com/contacto,"Sitio propio publica teléfono, mail y dirección de planta industrial en Tancacha. | Sitio propio: planta industrial 9 de Julio 1490, Tancacha; teléfono +54 3571 50-2272; alimentos/expeller/aceite/premezclas.",Alta,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,Sí,Alta,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
TAN-007,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,60,Agroinsumos Tancacha SRL,Agroquímicos e insumos agrícolas,Agro / acopio / planta,03571 461128,OK,tel:+543571461128,tel:+543571461128,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos e implementos con plataforma e hidrogrúa según necesidad.",Proveedor agropecuario local; fit para movimientos de equipos y cargas especiales de planta.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Agroinsumos+Tancacha+SRL+Tancacha+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Agroinsumos+Tancacha+SRL+Tancacha+C%C3%B3rdoba+Argentina,Proveedor agropecuario local; fit para movimientos de equipos y cargas especiales de planta.,Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,otro rubro factible,Sí,Alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,ID fuente: TAN-008
TAN-008,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,60,RG Rodolfo Grosso,Agroindustria / maquinaria o insumos,Agro / acopio / planta,3571 521091,VER,tel:+543571521091,tel:+543571521091,dueño / operaciones,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Empresa agroindustrial local; validar movimientos de equipos, repuestos o implementos.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=RG+Rodolfo+Grosso+Tancacha+C%C3%B3rdoba+Argentina,Facebook público / resultado de búsqueda,https://www.facebook.com/rgrodolfogrosso?locale=es_LA,Resultado público indica ubicación Tancacha y WhatsApp 3571521091; verificar vigencia.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,otro rubro factible,Sí,Media,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: TAN-009
TAN-009,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,ACOGRA,Fertilizantes líquidos / agroindustria,Agro / acopio / planta,A relevar,A relevar,,,planta / logística,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Producción de fertilizantes líquidos; validar movimientos de insumos, tanques, equipos y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=ACOGRA+Tancacha+C%C3%B3rdoba+Argentina,Instagram público / resultado de búsqueda,https://www.instagram.com/reel/DQet3NikYDU?hl=en,Resultado público menciona empresa de Tancacha que produce fertilizantes líquidos y exporta.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,planta agroindustrial,Sí,Media,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: TAN-010
TAN-010,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,B,50,Agricultores Unidos de Tancacha Coop. Agrícola Ltda.,Cooperativa agropecuaria / insumos,Agro / acopio / planta,03571 460109 / 03571 460298 / 03571 460112,OK,tel:+543571460109,tel:+543571460109 | tel:+543571460298 | tel:+543571460112,compra de insumos / acopio,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Cooperativa local: posible entrada por insumos, acopio y mantenimiento.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Agricultores+Unidos+de+Tancacha+Coop.+Agr%C3%ADcola+Ltda.+Tancacha+C%C3%B3rdoba+Argentina,LinkedIn público / búsqueda | Web propia Agricultores Unidos de Tancacha,https://www.linkedin.com/in/maximiliano-mat%C3%A9lica-9b7885125 | https://agricultoresunidos.com.ar/contacto,"Perfil público referencia a encargado de compra de insumos agrícolas en la cooperativa. | Sitio propio: administración 03571 460109; planta central 03571 460298; planta Ex-Junta 03571 460112; acopio, agroinsumos, corralón y flota propia.",Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets | percha para pallets de insumos | hidrogrúa para equipos/mantenimiento | barquilla para trabajos en altura,cooperativa/acopio,Sí,Media,"Barquilla: validar seguridad, seguro, permiso de trabajo y alcance de maniobra antes de cotizar. Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: TAN-011
TAN-011,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,C,40,La Lomita de Oro,Materiales para la construcción,Obra / constructora,+54 9 3571 558020,OK,tel:+5493571558020,tel:+5493571558020,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,Comercio de materiales de construcción; fit secundario para entregas especiales o equipos.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=La+Lomita+de+Oro+Tancacha+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=La+Lomita+de+Oro+Tancacha+C%C3%B3rdoba+Argentina,Comercio de materiales de construcción; fit secundario para entregas especiales o equipos.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Baja / visitar solo por cercanía,Áridos/materiales: confirmar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar.,GPT adjunto,ID fuente: TAN-012
TAN-012,Pendiente,Corralito / acceso secundario RN36,Tancacha / RP6 - satélite agroindustrial,Tancacha,C,40,Repuestos Actis,Repuestos usados de cosechadoras,Industria / mantenimiento,03571 537360,OK,tel:+543571537360,tel:+543571537360,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.",Proveedor rural de repuestos de cosechadoras; validar si mueve componentes de gran porte.,Llamar para validar necesidad y frecuencia; visitar si confirma movimientos de equipos/cargas.,"Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Repuestos+Actis+Tancacha+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Repuestos+usados+de+cosechadoras+Actis+Tancacha+C%C3%B3rdoba+Argentina,Proveedor rural de repuestos de cosechadoras; validar si mueve componentes de gran porte.,Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Baja / visitar solo por cercanía,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,ID fuente: TAN-013
AG-001,Pendiente,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,100,AG Viviendas Industrializadas,Módulos / viviendas industrializadas,Módulos / containers,3547 672399 / 3547 420854,OK,tel:+543547672399,tel:+543547672399 | tel:+543547420854,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Cada venta necesita logística: proponer proveedor regional.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-31.655000,-64.420000",Facebook AG Viviendas,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,otro rubro factible,,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
